Carrier,Service,Vessel Name,Voyage Number,IMO Number,Transit,Origin,Origin Code,Origin CY Cut-off,Departs,Load Port,Load Port Code,Load Terminal,Terminal CY Cut-Off,Destination,Destination Code,Arrives,Discharge Port,Discharge Port Code,Discharge Terminal,Mode
EVERGREEN,CIX,JEJU ISLAND,W013,9308417,8 days,SINGAPORE,SGSIN,,1/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,8/8/2022 0:00,NHAVA SHEVA,INNSA,,----SEA
GOLD STAR,CI3,ZIM CHARLESTON,7,9461506,9 days,SINGAPORE,SGSIN,,1/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,9/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
HMM,PS3,ONE COMPETENCE,0081W,9339662,9 days,SINGAPORE,SGSIN,,1/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,10/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
GOLD STAR,CI6,ONE COMPETENCE,26,9339662,10 days,SINGAPORE,SGSIN,,1/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,10/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
EVERGREEN MARINE,CIX,JEJU ISLAND,W013,9308417,8 days,SINGAPORE,SGSIN,,1/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,8/8/2022 0:00,NHAVA SHEVA,INNSA,,----SEA
HAPAG LLOYD,CIX,JEJU ISLAND,W013,9308417,7 days,SINGAPORE,SGSIN,31/7/2022 16:00,1/8/2022 4:00,SINGAPORE,SGSIN,,31/7/2022 16:00,NHAVA SHEVA,INNSA,8/8/2022 20:00,NHAVA SHEVA,INNSA,,SEA
OOCL,CIX3,ZIM CHARLESTON,7W,9461506,8 days,SINGAPORE,SGSIN,30/7/2022 21:30,1/8/2022 8:30,SINGAPORE,SGSIN,,30/7/2022 21:30,NHAVA SHEVA,INNSA,9/8/2022 20:45,NHAVA SHEVA,INNSA,,SEA
APL,C3MAPL,HR HERA,G0SA1NAPL,9175614,6 days,SINGAPORE,SGSIN,30/7/2022 20:00,1/8/2022 17:00,SINGAPORE,SGSIN,,30/7/2022 20:00,NHAVA SHEVA,INNSA,7/8/2022 19:00,NHAVA SHEVA,INNSA,,SEA-SEA
APL,AS6,COSCO THAILAND,0KC3FW1PL,9448798,5 days,SINGAPORE,SGSIN,31/7/2022 18:00,1/8/2022 23:00,SINGAPORE,SGSIN,,31/7/2022 18:00,NHAVA SHEVA,INNSA,7/8/2022 19:00,NHAVA SHEVA,INNSA,,SEA-SEA
APL,AS6,COSCO THAILAND,0KC3FW1PL,9448798,6 days,SINGAPORE,SGSIN,31/7/2022 18:00,1/8/2022 23:00,SINGAPORE,SGSIN,,31/7/2022 18:00,NHAVA SHEVA,INNSA,7/8/2022 22:00,NHAVA SHEVA,INNSA,,SEA
HMM,TNS,CLEMENS SCHULTE,0014W,9665671,14 days,SINGAPORE,SGSIN,,2/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,16/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
GOLD STAR,CI3,OOCL GENOA,19,9613587,9 days,SINGAPORE,SGSIN,,2/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,11/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
APL,C3MAPL,---,1748INAPL,9999999,5 days,SINGAPORE,SGSIN,31/7/2022 13:45,2/8/2022 0:45,SINGAPORE,SGSIN,,31/7/2022 13:45,NHAVA SHEVA,INNSA,7/8/2022 22:00,NHAVA SHEVA,INNSA,,SEA-SEA
APL,C3MAPL,---,1748INAPL,9999999,5 days,SINGAPORE,SGSIN,31/7/2022 13:45,2/8/2022 0:45,SINGAPORE,SGSIN,,31/7/2022 13:45,NHAVA SHEVA,INNSA,7/8/2022 19:00,NHAVA SHEVA,INNSA,,SEA-SEA
Ocean Network Express,TIP,CLEMENS SCHULTE,014W,9665671,16 days,SINGAPORE,SGSIN,31/7/2022 12:00,2/8/2022 7:30,SINGAPORE,SGSIN,,31/7/2022 12:00,NHAVA SHEVA,INNSA,16/8/2022 15:00,NHAVA SHEVA,INNSA,,SEA
APL,C3MAPL,HR RHEA,G2SA1NAPL,9175597,5 days,SINGAPORE,SGSIN,1/8/2022 10:00,2/8/2022 8:00,SINGAPORE,SGSIN,,1/8/2022 10:00,NHAVA SHEVA,INNSA,7/8/2022 19:00,NHAVA SHEVA,INNSA,,SEA-SEA
HAPAG LLOYD,PS3,ONE COMPETENCE,081W,9339662,9 days,SINGAPORE,SGSIN,1/8/2022 2:00,2/8/2022 10:00,SINGAPORE,SGSIN,,1/8/2022 2:00,NHAVA SHEVA,INNSA,11/8/2022 0:01,NHAVA SHEVA,INNSA,,SEA
HAPAG LLOYD,EC5,HUMEN BRIDGE,084E,9302164,16 days,SINGAPORE,SGSIN,1/8/2022 4:30,2/8/2022 10:30,SINGAPORE,SGSIN,,1/8/2022 4:30,NHAVA SHEVA,INNSA,18/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA----
OOCL,CIX3,OOCL GENOA,058W,9613587,9 days,SINGAPORE,SGSIN,1/8/2022 8:00,2/8/2022 16:00,SINGAPORE,SGSIN,,1/8/2022 8:00,NHAVA SHEVA,INNSA,11/8/2022 6:00,NHAVA SHEVA,INNSA,,SEA
CMA CGM,CIX,OOCL GENOA,0FB6DW1MA,9613587,8 days,SINGAPORE,SGSIN,1/8/2022 0:00,2/8/2022 18:30,SINGAPORE,SGSIN,,1/8/2022 0:00,NHAVA SHEVA,INNSA,11/8/2022 9:00,NHAVA SHEVA,INNSA,,SEA
APL,CIX,OOCL GENOA,0FB6DW1PL,9613587,8 days,SINGAPORE,SGSIN,1/8/2022 6:30,2/8/2022 18:30,SINGAPORE,SGSIN,,1/8/2022 6:30,NHAVA SHEVA,INNSA,11/8/2022 9:00,NHAVA SHEVA,INNSA,,SEA
EVERGREEN MARINE,CIX,ITAL UNICA,151W,9196981,9 days,SINGAPORE,SGSIN,,2/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,11/8/2022 0:00,NHAVA SHEVA,INNSA,,----SEA
EVERGREEN,CIX,ITAL UNICA,151W,9196981,9 days,SINGAPORE,SGSIN,,2/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,11/8/2022 0:00,NHAVA SHEVA,INNSA,,----SEA
GOLD STAR,CI4,HANS SCHULTE,22,9531909,6 days,SINGAPORE,SGSIN,,3/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,9/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
HAPAG LLOYD,CIX,ITAL UNICA,W151,9196981,8 days,SINGAPORE,SGSIN,3/8/2022 2:00,3/8/2022 17:00,SINGAPORE,SGSIN,,3/8/2022 2:00,NHAVA SHEVA,INNSA,11/8/2022 0:30,NHAVA SHEVA,INNSA,,SEA
APL,AS1,HANS SCHULTE,0FF6FW1PL,9531909,5 days,SINGAPORE,SGSIN,2/8/2022 12:00,3/8/2022 18:00,SINGAPORE,SGSIN,,2/8/2022 12:00,NHAVA SHEVA,INNSA,9/8/2022 11:00,NHAVA SHEVA,INNSA,,SEA
Ocean Network Express,SIX,SINAR SUNDA,117W,9866469,7 days,SINGAPORE,SGSIN,1/8/2022 12:00,3/8/2022 18:00,SINGAPORE,SGSIN,,1/8/2022 12:00,NHAVA SHEVA,INNSA,8/8/2022 18:00,NHAVA SHEVA,INNSA,,SEA
CMA CGM,AS1,HANS SCHULTE,0FF6FW1MA,9531909,5 days,SINGAPORE,SGSIN,2/8/2022 0:00,3/8/2022 19:30,SINGAPORE,SGSIN,,2/8/2022 0:00,NHAVA SHEVA,INNSA,9/8/2022 12:30,NHAVA SHEVA,INNSA,,SEA
MSC,NEW FALCON SERVICE,MSC BARBADOS,FK229A,9289544,8 days,SINGAPORE,SGSIN,,3/8/2022 20:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,11/8/2022 11:00,NHAVA SHEVA,INNSA,,SEA
COSCO,AS1,HANS SCHULTE,0FF6FW1MA,9531909,6 days,SINGAPORE,SGSIN,2/8/2022 17:30,3/8/2022 20:30,SINGAPORE,SGSIN,,2/8/2022 17:30,NHAVA SHEVA,INNSA,9/8/2022 13:30,NHAVA SHEVA,INNSA,,FEEDER
GOLD STAR,CI1,COSCO THAILAND,30,9448798,7 days,SINGAPORE,SGSIN,,4/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,11/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
PIL,,CALAIS TRADER,018W,,8 days,SINGAPORE,SGSIN,,4/8/2022 0:00,SINGAPORE,SGSIN,,,NHAVA SHEVA,INNSA,12/8/2022 0:00,NHAVA SHEVA,INNSA,,SEA
CMA CGM,AS6,COSCO THAILAND,0KC3FW1MA,9448798,7 days,SINGAPORE,SGSIN,3/8/2022 0:00,4/8/2022 4:00,SINGAPORE,SGSIN,,3/8/2022 0:00,NHAVA SHEVA,INNSA,11/8/2022 6:00,NHAVA SHEVA,INNSA,,SEA
COSCO,CI1,COSCO THAILAND,087W,9448798,7 days,SINGAPORE,SGSIN,30/7/2022 23:00,4/8/2022 4:00,SINGAPORE,SGSIN,,30/7/2022 23:00,NHAVA SHEVA,INNSA,11/8/2022 6:00,NHAVA SHEVA,INNSA,,FEEDER
